population,site,original_planting_date,early_planting_date,late_planting_date,required_gdus,scenario_1_harvest_quantity,scenario_2_harvest_quanitity
p_409,0,2/26/2020,2/12/2020,4/1/2020,1263,339,427
p_410,0,2/26/2020,2/19/2020,4/8/2020,1263,309,699
p_411,0,2/26/2020,2/19/2020,4/15/2020,1263,188,290
p_412,0,2/26/2020,2/19/2020,4/1/2020,1202,290,385
p_413,0,2/26/2020,2/19/2020,4/8/2020,1202,312,207
p_414,0,2/26/2020,2/12/2020,3/18/2020,1202,349,168
p_415,0,2/26/2020,2/26/2020,4/15/2020,1263,345,357
p_416,0,2/26/2020,2/12/2020,4/1/2020,1263,318,138
p_417,0,2/26/2020,2/19/2020,4/8/2020,1263,186,208
p_418,0,2/26/2020,2/26/2020,4/8/2020,1263,315,235
p_419,0,2/26/2020,2/26/2020,3/18/2020,1202,238,231
p_420,0,2/26/2020,2/26/2020,3/18/2020,1263,299,499
p_421,0,2/26/2020,2/12/2020,4/15/2020,1263,385,534
p_422,0,2/26/2020,2/26/2020,4/1/2020,1263,355,591
p_423,0,2/26/2020,2/12/2020,4/8/2020,1202,189,391
p_424,0,2/26/2020,2/12/2020,4/15/2020,1263,379,248
p_425,0,2/26/2020,2/19/2020,4/15/2020,1263,317,201
p_426,0,2/26/2020,2/19/2020,3/18/2020,1263,300,376
p_427,0,2/26/2020,2/26/2020,4/8/2020,1263,122,637
p_428,0,2/26/2020,2/26/2020,3/25/2020,1263,253,386
p_429,0,3/4/2020,2/26/2020,3/25/2020,1032,291,405
p_430,0,3/4/2020,2/19/2020,4/15/2020,1095,187,520
p_431,0,3/4/2020,2/19/2020,4/22/2020,965,329,270
p_432,0,3/4/2020,2/26/2020,4/22/2020,1095,271,269
p_433,0,3/4/2020,2/19/2020,4/8/2020,1095,297,331
p_434,0,3/4/2020,2/26/2020,4/1/2020,1155,85,507
p_435,0,3/4/2020,2/26/2020,3/25/2020,1095,213,217
p_436,0,3/4/2020,3/4/2020,4/8/2020,1032,323,329
p_437,0,3/4/2020,3/4/2020,4/8/2020,1032,98,224
p_438,0,3/4/2020,2/26/2020,4/1/2020,1032,453,464
p_439,0,3/4/2020,3/4/2020,3/25/2020,1095,138,390
p_440,0,3/4/2020,2/26/2020,3/25/2020,1032,255,333
p_441,0,3/4/2020,2/19/2020,4/22/2020,1095,261,418
p_442,0,3/4/2020,2/19/2020,3/25/2020,1032,533,152
p_443,0,3/4/2020,2/19/2020,4/8/2020,1032,229,474
p_444,0,3/4/2020,2/19/2020,4/22/2020,1032,218,72
p_445,0,3/4/2020,2/26/2020,3/25/2020,1095,192,340
p_446,0,3/4/2020,2/19/2020,4/1/2020,1095,294,429
p_447,0,3/4/2020,2/19/2020,4/8/2020,1095,200,511
p_448,0,3/4/2020,2/19/2020,4/15/2020,1032,189,469
p_449,0,3/4/2020,2/19/2020,4/1/2020,965,322,585
p_450,0,3/4/2020,2/26/2020,4/1/2020,1155,425,460
p_451,0,3/4/2020,2/19/2020,3/25/2020,1095,180,239
p_452,0,3/4/2020,3/4/2020,4/22/2020,1155,475,249
p_453,0,3/4/2020,3/4/2020,4/22/2020,1095,283,319
p_454,0,3/4/2020,3/4/2020,4/8/2020,1095,375,276
p_455,0,3/4/2020,3/4/2020,3/25/2020,1095,191,343
p_456,0,3/4/2020,3/4/2020,4/22/2020,965,304,562
p_457,0,3/4/2020,3/4/2020,4/15/2020,965,277,562
p_458,0,3/4/2020,2/26/2020,3/25/2020,1032,205,478
p_459,0,3/4/2020,3/4/2020,3/25/2020,1155,215,193
p_460,0,3/4/2020,2/19/2020,4/22/2020,1155,168,528
p_461,0,3/4/2020,3/4/2020,4/1/2020,1155,199,233
p_462,0,3/4/2020,2/26/2020,3/25/2020,1095,197,391
p_463,0,3/4/2020,3/4/2020,4/1/2020,1155,207,268
p_464,0,3/4/2020,2/19/2020,4/8/2020,1155,230,520
p_465,0,3/4/2020,2/19/2020,4/8/2020,1155,298,330
p_466,0,3/4/2020,2/26/2020,4/22/2020,1032,273,400
p_467,0,3/4/2020,2/26/2020,4/8/2020,1032,371,237
p_468,0,3/4/2020,2/26/2020,4/22/2020,1095,122,334
p_469,0,3/4/2020,2/26/2020,4/22/2020,1155,118,367
p_470,0,3/4/2020,3/4/2020,4/1/2020,1155,270,344
p_471,0,3/4/2020,3/4/2020,4/1/2020,1095,124,335
p_472,0,3/4/2020,2/19/2020,4/8/2020,1095,174,605
p_473,0,3/4/2020,2/26/2020,4/1/2020,1095,132,489
p_474,0,3/4/2020,2/26/2020,3/25/2020,1095,427,456
p_475,0,3/4/2020,3/4/2020,4/15/2020,1032,329,471
p_476,0,3/4/2020,2/26/2020,3/25/2020,1155,230,492
p_477,0,3/4/2020,2/19/2020,3/25/2020,1095,265,201
p_478,0,3/4/2020,2/19/2020,4/22/2020,1155,248,540
p_479,0,3/4/2020,2/26/2020,4/15/2020,1155,405,430
p_480,0,3/4/2020,2/19/2020,4/22/2020,1095,414,355
p_481,0,3/4/2020,2/19/2020,4/1/2020,1155,308,399
p_482,0,3/4/2020,3/4/2020,4/1/2020,1215,301,221
p_483,0,3/4/2020,2/19/2020,4/15/2020,1155,212,313
p_484,0,3/4/2020,2/26/2020,4/8/2020,1155,254,377
p_485,0,3/4/2020,2/26/2020,4/1/2020,1155,199,530
p_486,0,3/4/2020,2/19/2020,3/25/2020,1155,318,149
p_487,0,3/4/2020,2/26/2020,4/15/2020,1155,109,425
p_488,0,3/4/2020,3/4/2020,4/15/2020,1155,326,518
p_489,0,3/4/2020,2/19/2020,4/1/2020,1155,163,408
p_490,0,3/4/2020,2/19/2020,4/1/2020,1155,305,377
p_491,0,3/4/2020,2/19/2020,4/22/2020,1095,251,533
p_492,0,3/4/2020,2/26/2020,4/22/2020,1155,223,205
p_493,0,3/4/2020,2/26/2020,3/25/2020,1155,262,97
p_494,0,3/11/2020,2/26/2020,4/22/2020,1221,184,397
p_495,0,3/11/2020,3/4/2020,4/15/2020,1111,191,467
p_496,0,3/11/2020,3/4/2020,4/15/2020,1167,150,371
p_497,0,3/11/2020,2/26/2020,4/22/2020,1167,145,550
p_498,0,3/11/2020,2/26/2020,4/1/2020,1111,179,398
p_499,0,3/11/2020,3/4/2020,4/29/2020,1167,188,439
p_500,0,3/11/2020,2/26/2020,4/29/2020,1111,262,510
p_501,0,3/11/2020,2/26/2020,4/29/2020,1111,396,409
p_502,0,3/11/2020,2/26/2020,4/15/2020,1111,151,434
p_503,0,3/11/2020,2/26/2020,4/15/2020,1167,325,513
p_504,0,3/11/2020,3/4/2020,4/1/2020,1167,328,505
p_505,0,3/11/2020,2/26/2020,4/15/2020,1167,246,532
p_506,0,3/11/2020,3/11/2020,4/8/2020,1167,224,154
p_507,0,3/11/2020,2/26/2020,4/15/2020,1167,369,478
p_508,0,3/11/2020,3/11/2020,4/29/2020,1167,170,443
p_509,0,3/11/2020,2/26/2020,4/1/2020,1221,153,550
p_510,0,3/11/2020,3/11/2020,4/22/2020,1221,394,369
p_511,0,3/11/2020,3/11/2020,4/22/2020,1111,123,197
p_512,0,3/11/2020,2/26/2020,4/1/2020,1051,131,172
p_513,0,3/11/2020,2/26/2020,4/8/2020,1111,308,550
p_514,0,3/11/2020,2/26/2020,4/22/2020,1111,294,427
p_515,1,3/3/2020,3/3/2020,4/21/2020,1030,328,412
p_516,1,3/3/2020,2/25/2020,4/14/2020,1125,192,462
p_517,1,3/3/2020,2/25/2020,4/14/2020,1125,281,338
p_518,1,3/3/2020,2/18/2020,4/21/2020,1030,352,396
p_519,1,3/3/2020,2/25/2020,4/7/2020,1030,237,321
p_520,1,3/3/2020,2/25/2020,3/31/2020,1030,241,488
p_521,1,3/3/2020,2/18/2020,4/21/2020,1030,156,705
p_522,1,3/3/2020,3/3/2020,4/21/2020,1125,292,299
p_523,1,3/3/2020,2/18/2020,3/24/2020,1030,148,638
p_524,1,3/3/2020,2/25/2020,3/31/2020,1030,273,280
p_525,1,3/3/2020,3/3/2020,4/7/2020,1030,367,474
p_526,1,3/3/2020,2/25/2020,4/21/2020,1125,413,582
p_527,1,3/3/2020,3/3/2020,4/7/2020,1125,230,429
p_528,1,3/10/2020,3/3/2020,4/28/2020,1039,243,472
p_529,1,3/10/2020,2/25/2020,4/28/2020,1133,196,218
p_530,1,3/10/2020,3/3/2020,3/31/2020,1039,188,328
p_531,1,3/10/2020,3/3/2020,4/21/2020,1039,157,633
p_532,1,3/10/2020,3/10/2020,4/7/2020,1039,168,450
p_533,1,3/10/2020,3/3/2020,3/31/2020,1039,133,349
p_534,1,3/10/2020,2/25/2020,4/14/2020,1039,186,317
p_535,1,3/10/2020,2/25/2020,4/28/2020,1133,351,254
p_536,1,3/10/2020,2/25/2020,4/28/2020,1039,172,267
p_537,1,3/10/2020,3/10/2020,4/7/2020,1039,214,244
p_538,1,3/10/2020,3/10/2020,3/31/2020,1039,207,393
p_539,1,3/10/2020,3/3/2020,3/31/2020,1039,211,247
p_540,1,3/10/2020,3/3/2020,4/14/2020,1133,185,275
p_541,1,3/10/2020,3/3/2020,3/31/2020,1133,346,373
p_542,1,3/10/2020,3/10/2020,3/31/2020,1133,330,459
p_543,1,3/17/2020,3/17/2020,4/28/2020,1139,251,313
p_544,1,3/17/2020,3/10/2020,4/14/2020,1139,163,307
p_545,1,3/17/2020,3/17/2020,4/7/2020,1046,224,380
p_546,1,3/17/2020,3/17/2020,4/21/2020,1046,316,351
p_547,1,3/17/2020,3/3/2020,5/5/2020,1139,337,192
p_548,1,3/17/2020,3/3/2020,4/7/2020,1046,156,237
p_549,1,3/17/2020,3/10/2020,4/7/2020,1046,252,280
p_550,1,3/17/2020,3/10/2020,5/5/2020,1139,195,229
p_551,1,3/17/2020,3/3/2020,4/28/2020,1046,235,194
p_552,1,3/17/2020,3/17/2020,4/14/2020,1046,293,444
p_553,1,3/17/2020,3/10/2020,4/28/2020,1046,245,179
p_554,1,3/17/2020,3/10/2020,4/21/2020,1139,325,502
p_555,1,3/17/2020,3/10/2020,4/7/2020,1139,351,317
p_556,1,3/17/2020,3/17/2020,4/28/2020,1139,370,465
p_557,1,3/17/2020,3/3/2020,4/14/2020,1046,226,330
p_558,1,3/17/2020,3/10/2020,4/21/2020,1323,353,220
p_559,1,3/17/2020,3/3/2020,4/28/2020,1323,363,231
p_560,1,3/17/2020,3/3/2020,4/7/2020,1323,181,357
p_561,1,3/17/2020,3/17/2020,4/14/2020,1323,270,148
p_562,1,3/17/2020,3/17/2020,4/7/2020,1323,260,202
p_563,1,3/17/2020,3/17/2020,4/7/2020,1414,152,590
p_564,1,3/17/2020,3/17/2020,4/21/2020,1323,264,429
p_565,1,3/17/2020,3/17/2020,4/14/2020,1414,377,466
p_566,1,3/17/2020,3/17/2020,5/5/2020,1323,152,125
p_567,1,3/17/2020,3/10/2020,4/7/2020,1323,182,298
p_568,1,3/17/2020,3/3/2020,4/14/2020,1046,256,258
p_569,1,3/17/2020,3/17/2020,4/7/2020,1046,88,214
p_570,1,3/17/2020,3/10/2020,4/28/2020,1046,247,298
p_571,1,3/17/2020,3/3/2020,4/28/2020,1046,315,227
p_572,1,3/17/2020,3/17/2020,4/14/2020,1046,196,336
p_573,1,3/17/2020,3/17/2020,4/21/2020,1139,287,397
p_574,1,3/17/2020,3/10/2020,5/5/2020,1139,289,332
p_575,1,3/17/2020,3/3/2020,4/28/2020,1046,219,447
p_576,1,3/17/2020,3/17/2020,4/21/2020,1139,378,61
p_577,1,3/17/2020,3/3/2020,5/5/2020,1139,143,281
p_578,1,3/17/2020,3/10/2020,4/28/2020,1230,252,464
p_579,1,3/17/2020,3/17/2020,5/5/2020,1139,249,220
p_580,1,3/17/2020,3/3/2020,4/7/2020,1139,246,453
p_581,1,3/17/2020,3/10/2020,4/14/2020,1139,184,154
p_582,1,3/17/2020,3/10/2020,4/28/2020,1139,188,357
p_583,1,3/17/2020,3/17/2020,4/28/2020,1139,77,368
p_584,1,3/17/2020,3/3/2020,4/7/2020,1139,237,334
p_585,1,3/17/2020,3/17/2020,4/28/2020,1139,315,296
p_586,1,3/17/2020,3/17/2020,4/28/2020,1139,257,323
p_587,1,3/17/2020,3/3/2020,4/28/2020,1139,221,528
p_588,1,3/17/2020,3/3/2020,4/28/2020,1139,260,272
p_589,1,3/17/2020,3/3/2020,4/28/2020,1139,249,320
p_590,1,3/17/2020,3/10/2020,4/21/2020,1230,257,351
p_591,1,3/17/2020,3/10/2020,4/28/2020,1323,372,326
p_592,1,3/17/2020,3/3/2020,4/7/2020,1323,332,250
p_593,1,3/17/2020,3/10/2020,4/28/2020,1323,224,646
p_594,1,3/17/2020,3/17/2020,5/5/2020,1323,265,358
p_595,1,3/17/2020,3/3/2020,5/5/2020,1323,376,291
p_596,1,3/17/2020,3/17/2020,4/7/2020,1230,361,280
p_597,1,3/17/2020,3/3/2020,4/21/2020,1323,227,497
p_598,1,3/17/2020,3/17/2020,4/7/2020,1323,281,445
p_599,1,3/17/2020,3/3/2020,4/21/2020,1323,201,507
p_600,1,3/17/2020,3/17/2020,4/14/2020,1323,287,453
p_601,1,3/17/2020,3/3/2020,5/5/2020,1139,318,669
p_602,1,3/17/2020,3/3/2020,5/5/2020,1230,286,187
p_603,1,3/17/2020,3/10/2020,5/5/2020,1230,208,401
p_604,1,3/17/2020,3/17/2020,4/21/2020,1323,162,378
p_605,1,3/17/2020,3/10/2020,4/7/2020,1323,145,403
p_606,1,3/17/2020,3/17/2020,4/21/2020,1323,221,295
p_607,1,3/17/2020,3/10/2020,5/5/2020,1323,68,450
p_608,1,3/17/2020,3/3/2020,5/5/2020,1323,301,336
p_609,0,3/18/2020,3/11/2020,5/6/2020,1118,85,450
p_610,0,3/18/2020,3/11/2020,5/6/2020,1064,405,200
p_611,0,3/18/2020,3/4/2020,4/15/2020,1064,200,578
p_612,0,3/18/2020,3/11/2020,5/6/2020,1064,234,294
p_613,0,3/18/2020,3/4/2020,4/22/2020,1008,317,420
p_614,0,3/18/2020,3/18/2020,5/6/2020,1064,404,340
p_615,0,3/18/2020,3/11/2020,4/29/2020,1064,208,292
p_616,0,3/18/2020,3/4/2020,4/15/2020,1064,73,352
p_617,0,3/18/2020,3/4/2020,5/6/2020,1064,193,134
p_618,0,3/18/2020,3/11/2020,4/29/2020,1064,274,366
p_619,0,3/18/2020,3/18/2020,4/22/2020,1064,170,434
p_620,0,3/18/2020,3/11/2020,4/15/2020,948,394,242
p_621,0,3/18/2020,3/4/2020,5/6/2020,1118,239,417
p_622,0,3/18/2020,3/18/2020,4/22/2020,1064,246,537
p_623,0,3/18/2020,3/11/2020,4/29/2020,1064,284,107
p_624,0,3/18/2020,3/4/2020,4/15/2020,1064,235,328
p_625,0,3/18/2020,3/11/2020,5/6/2020,1064,277,486
p_626,0,3/18/2020,3/18/2020,4/22/2020,1008,194,377
p_627,0,3/18/2020,3/18/2020,4/15/2020,1064,84,556
p_628,0,3/18/2020,3/18/2020,4/29/2020,948,238,413
p_629,0,3/18/2020,3/18/2020,5/6/2020,1008,131,385
p_630,0,3/18/2020,3/18/2020,4/15/2020,1064,232,233
p_631,0,3/18/2020,3/11/2020,4/29/2020,1169,245,429
p_632,0,3/18/2020,3/18/2020,4/29/2020,1169,481,483
p_633,0,3/18/2020,3/18/2020,4/22/2020,1118,261,361
p_634,0,3/18/2020,3/4/2020,4/29/2020,1169,303,324
p_635,0,3/18/2020,3/18/2020,4/29/2020,1169,258,602
p_636,0,3/18/2020,3/4/2020,4/8/2020,1220,212,198
p_637,0,3/18/2020,3/4/2020,4/29/2020,1064,355,368
p_638,0,3/18/2020,3/4/2020,5/6/2020,1064,348,381
p_639,0,3/18/2020,3/11/2020,4/15/2020,1118,106,399
p_640,0,3/18/2020,3/11/2020,5/6/2020,1064,225,621
p_641,0,3/18/2020,3/4/2020,5/6/2020,1064,227,312
p_642,0,3/25/2020,3/18/2020,4/29/2020,1120,177,485
p_643,0,3/25/2020,3/25/2020,4/15/2020,1120,165,328
p_644,0,3/25/2020,3/18/2020,4/15/2020,1120,313,211
p_645,0,3/25/2020,3/25/2020,5/13/2020,1070,299,418
p_646,0,3/25/2020,3/25/2020,4/22/2020,1070,264,491
p_647,0,3/25/2020,3/18/2020,4/15/2020,1018,80,143
p_648,0,3/25/2020,3/18/2020,4/15/2020,1018,332,251
p_649,0,3/25/2020,3/11/2020,5/13/2020,964,223,512
p_650,0,3/25/2020,3/18/2020,4/15/2020,1018,390,242
p_651,0,3/25/2020,3/18/2020,4/29/2020,1120,260,312
p_652,0,3/25/2020,3/18/2020,5/13/2020,1169,240,300
p_653,0,3/25/2020,3/25/2020,4/15/2020,1169,235,122
p_654,0,3/25/2020,3/25/2020,4/15/2020,1018,201,331
p_655,0,3/25/2020,3/25/2020,4/15/2020,1018,244,340
p_656,0,3/25/2020,3/11/2020,5/13/2020,1120,106,206
p_657,0,3/25/2020,3/11/2020,4/22/2020,1070,212,132
p_658,0,3/25/2020,3/11/2020,5/6/2020,1120,325,375
p_659,0,3/25/2020,3/25/2020,4/15/2020,1018,219,227
p_660,0,3/25/2020,3/18/2020,5/6/2020,1169,301,413
p_661,0,3/25/2020,3/11/2020,5/6/2020,1169,372,372
p_662,0,3/25/2020,3/11/2020,4/15/2020,1120,299,496
p_663,0,3/25/2020,3/25/2020,4/15/2020,1120,186,396
p_664,0,3/25/2020,3/11/2020,5/6/2020,1120,422,447
p_665,0,3/25/2020,3/18/2020,4/22/2020,1120,230,444
p_666,1,3/24/2020,3/24/2020,5/5/2020,1141,123,103
p_667,1,3/24/2020,3/24/2020,4/21/2020,1141,324,410
p_668,1,3/24/2020,3/17/2020,4/28/2020,1324,227,261
p_669,1,3/24/2020,3/17/2020,4/21/2020,1324,275,614
p_670,1,3/24/2020,3/17/2020,5/12/2020,1324,155,601
p_671,1,3/24/2020,3/10/2020,4/14/2020,1233,232,487
p_672,1,3/24/2020,3/17/2020,4/28/2020,1049,332,366
p_673,1,3/24/2020,3/24/2020,5/5/2020,1049,353,503
p_674,1,3/24/2020,3/17/2020,4/21/2020,1049,189,264
p_675,1,3/24/2020,3/24/2020,4/28/2020,1324,179,435
p_676,1,3/24/2020,3/24/2020,5/12/2020,1324,182,229
p_677,1,3/24/2020,3/10/2020,4/21/2020,1324,244,295
p_678,1,3/24/2020,3/17/2020,5/5/2020,1324,217,369
p_679,1,3/24/2020,3/10/2020,5/5/2020,1141,263,609
p_680,1,3/24/2020,3/17/2020,4/21/2020,1233,124,193
p_681,1,3/24/2020,3/17/2020,5/12/2020,1141,299,333
p_682,1,3/24/2020,3/17/2020,4/14/2020,1141,304,208
p_683,1,3/24/2020,3/17/2020,4/14/2020,1141,252,494
p_684,1,3/24/2020,3/17/2020,5/5/2020,1141,420,163
p_685,1,3/24/2020,3/24/2020,5/12/2020,1141,280,295
p_686,1,3/24/2020,3/24/2020,5/5/2020,1141,270,219
p_687,1,3/24/2020,3/17/2020,4/14/2020,1141,230,302
p_688,1,3/24/2020,3/24/2020,5/5/2020,1141,132,242
p_689,1,3/24/2020,3/10/2020,4/21/2020,1141,202,454
p_690,1,3/24/2020,3/10/2020,4/21/2020,1141,200,207
p_691,1,3/24/2020,3/10/2020,5/12/2020,1141,243,356
p_692,1,3/24/2020,3/17/2020,4/14/2020,1141,282,292
p_693,1,3/24/2020,3/17/2020,5/12/2020,1141,335,113
p_694,1,3/24/2020,3/24/2020,5/12/2020,1141,113,151
p_695,1,3/24/2020,3/24/2020,4/14/2020,1141,339,555
p_696,1,3/24/2020,3/24/2020,4/28/2020,1324,225,177
p_697,1,3/24/2020,3/10/2020,4/28/2020,1324,153,162
p_698,1,3/24/2020,3/10/2020,5/5/2020,1324,250,115
p_699,1,3/24/2020,3/10/2020,4/28/2020,1324,176,491
p_700,1,3/24/2020,3/10/2020,4/21/2020,1141,338,254
p_701,1,3/24/2020,3/24/2020,5/12/2020,1141,75,158
p_702,1,3/24/2020,3/17/2020,5/5/2020,1141,122,581
p_703,1,3/24/2020,3/17/2020,5/12/2020,1141,280,390
p_704,1,3/24/2020,3/10/2020,4/14/2020,1324,230,345
p_705,1,3/24/2020,3/17/2020,4/28/2020,1233,177,443
p_706,1,3/24/2020,3/17/2020,4/14/2020,1324,179,359
p_707,1,3/24/2020,3/17/2020,5/5/2020,1324,228,157
p_708,1,3/24/2020,3/10/2020,4/21/2020,1324,269,227
p_709,0,4/1/2020,4/1/2020,5/6/2020,1071,350,194
p_710,0,4/1/2020,4/1/2020,4/22/2020,1071,185,470
p_711,0,4/1/2020,3/25/2020,5/6/2020,1165,159,291
p_712,0,4/1/2020,4/1/2020,5/20/2020,1118,214,643
p_713,0,4/1/2020,4/1/2020,4/29/2020,972,131,604
p_714,0,4/1/2020,3/18/2020,5/6/2020,972,272,748
p_715,0,4/1/2020,3/18/2020,4/29/2020,920,377,153
p_716,0,4/1/2020,3/25/2020,5/20/2020,920,351,249
p_717,0,4/1/2020,3/25/2020,5/20/2020,972,274,359
p_718,0,4/1/2020,3/25/2020,4/22/2020,972,301,362
p_719,0,4/1/2020,3/18/2020,5/13/2020,920,271,147
p_720,0,4/1/2020,4/1/2020,4/22/2020,972,463,398
p_721,0,4/1/2020,3/18/2020,4/29/2020,1118,449,585
p_722,0,4/1/2020,3/18/2020,4/22/2020,1118,133,538
p_723,0,4/1/2020,4/1/2020,5/6/2020,1118,335,355
p_724,0,4/1/2020,4/1/2020,4/22/2020,1118,339,375
p_725,0,4/1/2020,3/25/2020,5/13/2020,1118,75,451
p_726,0,4/1/2020,4/1/2020,5/13/2020,1165,146,457
p_727,0,4/1/2020,4/1/2020,4/29/2020,972,284,415
p_728,1,3/31/2020,3/31/2020,5/19/2020,1046,176,331
p_729,1,3/31/2020,3/31/2020,5/12/2020,1138,161,283
p_730,1,3/31/2020,3/24/2020,4/28/2020,1138,180,255
p_731,1,3/31/2020,3/24/2020,5/12/2020,1138,286,291
p_732,1,3/31/2020,3/31/2020,5/12/2020,1229,102,231
p_733,1,3/31/2020,3/31/2020,5/19/2020,1229,162,159
p_734,1,3/31/2020,3/24/2020,5/5/2020,1229,136,376
p_735,1,3/31/2020,3/24/2020,4/28/2020,1229,389,354
p_736,1,3/31/2020,3/31/2020,5/12/2020,1229,277,273
p_737,1,3/31/2020,3/17/2020,5/12/2020,1229,229,298
p_738,1,3/31/2020,3/24/2020,4/21/2020,1229,520,172
p_739,1,3/31/2020,3/24/2020,5/5/2020,1229,329,288
p_740,1,3/31/2020,3/24/2020,5/19/2020,1229,412,489
p_741,1,3/31/2020,3/31/2020,4/28/2020,1321,307,551
p_742,1,3/31/2020,3/31/2020,5/12/2020,1321,102,401
p_743,1,3/31/2020,3/24/2020,4/28/2020,1321,160,231
p_744,1,3/31/2020,3/31/2020,5/19/2020,1321,302,266
p_745,1,3/31/2020,3/31/2020,5/5/2020,1321,235,434
p_746,1,3/31/2020,3/24/2020,4/21/2020,1321,96,533
p_747,1,3/31/2020,3/31/2020,5/5/2020,1321,448,327
p_748,1,3/31/2020,3/17/2020,4/21/2020,1321,435,418
p_749,1,3/31/2020,3/31/2020,4/28/2020,1321,115,170
p_750,1,3/31/2020,3/31/2020,5/5/2020,1321,211,110
p_751,1,3/31/2020,3/24/2020,5/5/2020,1321,445,341
p_752,1,3/31/2020,3/24/2020,5/5/2020,1321,132,167
p_753,1,3/31/2020,3/17/2020,5/19/2020,1321,305,261
p_754,1,3/31/2020,3/31/2020,4/28/2020,1229,287,353
p_755,1,3/31/2020,3/17/2020,4/21/2020,1229,287,596
p_756,1,3/31/2020,3/17/2020,5/5/2020,1321,234,247
p_757,1,3/31/2020,3/24/2020,4/28/2020,1229,146,513
p_758,1,3/31/2020,3/31/2020,5/19/2020,1138,488,387
p_759,1,3/31/2020,3/24/2020,5/19/2020,1138,234,332
p_760,1,3/31/2020,3/17/2020,4/28/2020,1229,289,349
p_761,1,3/31/2020,3/17/2020,4/21/2020,1321,316,167
p_762,1,3/31/2020,3/24/2020,4/28/2020,1229,299,579
p_763,1,3/31/2020,3/24/2020,4/28/2020,1229,143,372
p_764,1,3/31/2020,3/24/2020,5/12/2020,1229,379,183
p_765,1,3/31/2020,3/24/2020,5/19/2020,1229,160,188
p_766,1,3/31/2020,3/24/2020,4/21/2020,1321,374,182
p_767,1,3/31/2020,3/17/2020,5/12/2020,1321,307,353
p_768,1,3/31/2020,3/24/2020,4/28/2020,1229,147,647
p_769,1,3/31/2020,3/31/2020,5/19/2020,1321,208,661
p_770,1,3/31/2020,3/17/2020,5/12/2020,1229,294,393
p_771,1,3/31/2020,3/17/2020,5/12/2020,1321,584,573
p_772,1,3/31/2020,3/31/2020,4/21/2020,1229,166,324
p_773,1,4/7/2020,4/7/2020,5/5/2020,1139,271,263
p_774,1,4/7/2020,3/24/2020,4/28/2020,1048,183,452
p_775,1,4/7/2020,3/31/2020,5/19/2020,1320,297,439
p_776,1,4/7/2020,3/24/2020,5/19/2020,1320,192,336
p_777,1,4/7/2020,3/24/2020,4/28/2020,1320,242,662
p_778,1,4/7/2020,4/7/2020,5/19/2020,1230,268,263
p_779,1,4/7/2020,3/24/2020,5/12/2020,1320,171,233
p_780,1,4/7/2020,3/31/2020,5/26/2020,1230,309,258
p_781,1,4/7/2020,4/7/2020,5/5/2020,1320,401,657
p_782,1,4/7/2020,3/24/2020,5/26/2020,1230,238,272
p_783,1,4/7/2020,3/24/2020,5/5/2020,1230,335,335
p_784,1,4/7/2020,3/31/2020,5/19/2020,1230,319,542
p_785,1,4/7/2020,3/24/2020,4/28/2020,1320,244,284
p_786,1,4/7/2020,3/24/2020,4/28/2020,1230,209,408
p_787,1,4/7/2020,3/24/2020,5/19/2020,1230,203,159
p_788,0,4/1/2020,3/18/2020,4/29/2020,1165,236,296
p_789,0,4/1/2020,3/25/2020,5/13/2020,1213,232,439
p_790,0,4/1/2020,3/18/2020,4/29/2020,1165,328,607
p_791,0,4/1/2020,3/18/2020,5/13/2020,1165,162,233
p_792,0,4/1/2020,3/18/2020,5/13/2020,1213,272,343
p_793,0,4/1/2020,4/1/2020,5/13/2020,1118,76,408
p_794,0,4/1/2020,3/25/2020,4/22/2020,1165,209,424
p_795,0,4/1/2020,4/1/2020,4/29/2020,1213,126,261
p_796,0,4/1/2020,4/1/2020,5/13/2020,1213,182,268
p_797,0,4/1/2020,3/25/2020,5/20/2020,1165,169,307
p_798,0,4/1/2020,4/1/2020,5/20/2020,1213,230,286
p_799,0,4/1/2020,4/1/2020,4/22/2020,1165,242,314
p_800,0,4/1/2020,4/1/2020,5/6/2020,1165,116,167
p_801,0,4/1/2020,3/25/2020,4/22/2020,1165,328,710
p_802,0,4/1/2020,3/18/2020,5/6/2020,1165,93,433
p_803,0,4/1/2020,3/25/2020,4/22/2020,1213,343,357
p_804,0,4/1/2020,3/25/2020,5/20/2020,1165,234,592
p_805,0,4/1/2020,3/25/2020,5/13/2020,1213,154,167
p_806,0,4/1/2020,4/1/2020,4/29/2020,1213,322,797
p_807,0,4/15/2020,4/1/2020,5/27/2020,1084,164,438
p_808,0,4/15/2020,4/8/2020,6/3/2020,1084,261,452
p_809,0,4/15/2020,4/8/2020,5/13/2020,1084,139,353
p_810,0,4/15/2020,4/1/2020,5/20/2020,1084,164,143
p_811,0,4/15/2020,4/1/2020,5/20/2020,1084,356,500
p_812,0,4/15/2020,4/1/2020,6/3/2020,1084,219,262
p_813,0,4/15/2020,4/15/2020,5/13/2020,1084,285,305
p_814,0,4/15/2020,4/1/2020,5/27/2020,1084,395,239
p_815,1,4/21/2020,4/21/2020,6/9/2020,1041,417,546
p_816,1,4/21/2020,4/14/2020,5/26/2020,1041,277,131
p_817,1,4/21/2020,4/21/2020,6/9/2020,1041,307,351
p_818,1,4/28/2020,4/14/2020,6/9/2020,942,333,391
