Funding Org: Org subventionnaire,Country Served:Pays servis,Province Served:Province servis,Fiscal Year:Année fiscal,"Grant Programme:Title:Programme, titre",Geographical Area Served:Région servis,Cross-catchment indicator:,Identifier:Identificateur,Organization name:Nom d'organisme,Submission date: Date de soumission,Approval date:Date approvée,Amount Applied For:Montant demandé,Amount Awarded:Montant décerné,Planned Dates:Duration (months):Dates planifiées:durée(mois),Description (English/Anglais),Description (French/Français),Budget Fund:Fonds du budget,Recipient Org:Incorporation Number:Org du bénéficiaires: Numéro d'incorporation,Recipient Org:Charitable Registration Number: Org du bénéficiaires:Numéro d'enregistrement d'organisme de bienfaisance,Recipient Org:City:Org du bénéficiaires:Ville,Recipient Org:Postal Code: Org du bénéficiaires:code postale,Co-Application:Co-demandeurs,Population Served:Population servis,Age Group:Groupe d'âge,Grant Result:Résultat de subvention,Last modified:Mise à jour
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Toronto,No,2Y15160010388,T-Miut c/o Tungasuvvingat Inuit,9/23/2015,3/24/2016,210000,210000,36,"$210,000 over 36 months to create a space for Inuit youth in Toronto to meet, gather, and learn about the Inuk identity. T-Miut will develop a language curriculum, teach traditional skills such as beading games, sewing, singing, and drumming, and provide cultural teachings. Funds will be used to hire project coordinators, rent space, conduct outreach, and deliver programming.","210 000 $, échelonnés sur 36 mois, pour créer un espace où les jeunes Inuits de Toronto peuvent se rencontrer et se renseigner sur l’identité inuite. T-Miut élaborera un programme d’apprentissage de la langue, leur apprendra à pratiquer des activités traditionnelles, telles que le perlage, la couture, le chant et le tambour, et leur fournira des renseignements culturels. Les fonds serviront à embaucher des coordonnateurs de projets, à louer un local, à mener des activités de sensibilisation et à offrir des programmes.",Grassroots Innovation,,108145079RR0001,Ottawa,K1R 6L1,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships;Youth are enaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Halton Peel,No,2Y15160010605,World Changers Society c/o Rapport Youth Services,9/23/2015,3/24/2016,210000,140000,24,"$140,000 over 24 months to provide mentorship and life skills training for youth coming out of care to support their transition to independence. Funds will be used for staffing, equipment and resources to hold regular sessions between mentors (youth once in care now independent) and youth still in care in the Greater Toronto Area.","140 000 $, échelonnés sur 24 mois, pour offrir des services de mentorat et d’initiation à la vie quotidienne aux jeunes qui cessent d’être pris en charge pour les aider à faire la transition vers l’autonomie. Les fonds serviront à la dotation en personnel et aux coûts liés à l’équipement et aux ressources pour permettre des rencontres régulières entre les mentors (jeunes préalablement pris en charge qui sont maintenant autonomes) et les jeunes qui sont toujours en charge dans la région du grand Toronto.",Grassroots Innovation,239503,119109296RR0001,Brampton,L6T 5E2,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Newcomer youth;Youth with all the experiences,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth have at least one consistent, caring person in their lives",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Halton Peel,No,2Y15160010676,BrAIDS for AIDS c/o Youth Action Network,9/23/2015,3/24/2016,59550,92000,36,"$92,000 over 36 months to deliver one-to-one sexual health education, counseling and referral sessions with young males in detention at the Roy McMurtry Youth Centre in Brampton. The information will be delivered through culturally-relevant mediums and community sexual health resources. Funds will be used for program staffing, transportation and supplies.","92 000 $, échelonnés sur 36 mois, pour offrir des séances privées d’éducation en santé sexuelle, de counseling et d’aiguillage aux jeunes détenus au Centre de jeunes Roy McMurtry à Brampton. L’information sera transmise à l’aide de moyens pertinents sur le plan culturel et de ressources communautaires sur la santé sexuelle. Les fonds serviront à la dotation en personnel pour les programmes, ainsi que pour les coûts de transport et des fournitures.",Grassroots Innovation,,136303195RR0001,Toronto,M6P 3S2,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth living with disabilities or special needs between the ages of 12 to 29;Youth with all the experiences",12 to 14 years;15 to 19 years,"Youth form and maintain healthy, close relationships;Youth are enaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Halton Peel,No,2Y15160010074,"LAB B c/o Youth Action Network 
",9/23/2015,3/24/2016,295692,300000,36,"$300,000 over 36 months to create a Creative Economy Co-op’ program for racialized and newcomer youth in Peel Region. They will mentor youth who seek entrepreneurial skills and support them to reach workable milestones. Funds will support staffing and program costs.","300 000 $, échelonnés sur 36 mois, pour élaborer un programme coopératif d’économie créative pour les jeunes racialisés et nouveaux arrivants de la région de Peel. Les jeunes qui le désirent recevront des services de mentorat pour acquérir des aptitudes en entrepreneuriat et atteindre des jalons réalistes. Les fonds serviront à la dotation en personnel et pour les coûts des programmes.",Grassroots Innovation,,136303195RR0001,Toronto,M6P 3S2,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth living with disabilities or special needs between the ages of 12 to 29;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships;Youth have at least one consistent, caring person in their lives",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Ontario,Yes,2Y15160010854,"Native Youth Sexual Health Network c/o Ontario Federation of Indigenous Friendship Centres 
",9/23/2015,3/24/2016,400000,400000,48,"$400,000 over 48 months to work with Aboriginal youth across Ontario to mentor young leaders and create sustainable resources that can improve personal and community health and wellness. The Network will hold a youth summit and a Circle of Support, expand its ‘Media as Arts Justice’ programming, and provide capacity and guidance to Indigenous youth living in remote, low-income areas throughout Ontario. Funds will support salaries and programming, and the planning and staging of the Youth Summit, gatherings and conferences.","400 000 $, échelonnés sur 48 mois, pour travailler avec des jeunes autochtones de l’Ontario en vue d’offrir des services de mentorat à de jeunes leaders et de créer des ressources durables pouvant améliorer la santé et le bien-être au niveau personnel et communautaire. Le Network organisera un sommet de la jeunesse (Youth Summit) et un cercle de soutien (Circle of Support), élargira la portée de son programme « Media as Arts Justice » et offrira des moyens et une orientation aux jeunes autochtones vivant dans des régions éloignées à faibles revenus de l’Ontario. Les fonds serviront à payer les salaires, ainsi que les coûts des programmes, de la planification et de la tenue du sommet de la jeunesse, des rencontres et des conférences.",Grassroots Innovation,244655,,Toronto,M5A 1E8,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth living in rural or remote communities;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships;Youth are enaged in their community; Youth know about and easily navigate resources and opportunities in their communities",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Toronto,No,2Y15160010287,REX Pride c/o Leave Out Violence Everywhere (LOVE),9/23/2015,3/24/2016,387550,387000,48,"$387,000 over 48 months to coordinate a local support network for LGBTTQ youth and provide support and services to youth and youth-serving agencies in the Toronto neighbourhood of Rexdale. Funds will be used for project staffing, programming and marketing materials.","387 000 $, échelonnés sur 48 mois, pour coordonner un réseau de soutien local pour les jeunes LGBTTQ et offrir du soutien et des services aux jeunes et aux organismes servant les jeunes du quartier Rexdale de Toronto. Les fonds défraieront la dotation en personnel pour les projets, ainsi que des coûts liés aux programmes et au matériel de marketing.",Grassroots Innovation,,847921301RR0001,Toronto,M6A 2A1,Yes,"Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships;Youth are enaged in their community; Youth know about and easily navigate resources and opportunities in their communities",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Toronto,No,2Y15160010643,S.E.E.D.S. c/o Thornecliffe Neighbourhood Office (TNO),9/23/2015,3/24/2016,92500,107700,36,"$107,700 over 36 months to deliver an after-school program, using a peer-learning model, for middle school youth in Toronto’s neighbourhood improvement areas. Local post-secondary students will provide supports, helping the youth to form and maintain healthy, close relationships. Funds will be used for program delivery and staffing costs.","107 700 $, échelonnés sur 36 mois, pour offrir un programme après l’école, selon un modèle d’apprentissage par les pairs, pour les jeunes de l’école intermédiaire des quartiers de Toronto où des améliorations sont nécessaires. Des étudiants du palier postsecondaire de la localité offriront du soutien, aidant les jeunes à établir et maintenir des relations étroites saines. Les fonds serviront à la prestation du programme et à la dotation en personnel.",Grassroots Innovation,,108107343 RR0001,Toronto,M4H 1N7,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth living with disabilities or special needs between the ages of 12 to 29;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships;Youth are enaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Simcoe York,No,2Y15160010557,Silver Linings Family CircleTuck Shop c/o Community Living York South,9/23/2015,3/24/2016,100000,100500,36,"$100,500 over 36 month to work with a professional job coach to enhance the skills of youth with developmental disabilities in York Region in order to increase their self-confidence and their employable skills. Funds will be used for staff salaries and honorariums for youth.","100 500 $, échelonnés sur 36 mois, pour travailler avec un formateur en milieu de travail professionnel en vue de renforcer les aptitudes de jeunes handicapés de la région de York de façon à accroître leur confiance en eux et leurs aptitudes à l’emploi. Les fonds serviront à payer le salaire des employés et les honoraires des jeunes.",Grassroots Innovation,,108226556RR0001,Richmond Hill,L4C 5E5,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth living with disabilities or special needs between the ages of 12 to 29,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships;Youth are enaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Toronto,No,2Y15160010586,SoundCheck c/o The HopeWorks Connection,9/23/2015,3/24/2016,118675,137500,36,"$137,500 over 36 months to implement a music instruction and mentorship program for 15 to 24 years old racialized youth in the Weston Road Mt. Dennis area of Toronto to build healthy relationships and develop leadership, teamwork and self-confidence. Funds will be used for staff salaries, musician mentors and resources.","137 500 $, échelonnés sur 36 mois, pour mettre en œuvre un programme de cours de musique et de mentorat pour les jeunes racialisés de 15 à 24 ans du secteur Mt. Dennis?Weston Road de Toronto afin d’établir des relations saines et de développer le leadership, le travail d’équipe et la confiance en soi. Les fonds serviront à payer le salaire des employés et des musiciens mentors, ainsi que les ressources.",Grassroots Innovation,1528705,,Toronto,M1J 1V1,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities;Parents or gaurdians of young people,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,"Toronto;Halton Peel;Durham, Haliburton, Kawartha, Pine Ridge",Yes,2Y15160010418,Sunset Service c/o S SKETCH Working Arts for Street-involved and Homeless Youth,9/23/2015,3/24/2016,85920,108800,36,"$108,800 over 36 months to deliver monthly and weekly activities as well as develop and maintain an online social-spiritual space for LGBTTQ youth in the Greater Toronto Area. Funds will be used for programming and outreach, to hire a Multidisciplinary Spiritual Arts Programmer, Coordinator, and a Youth Peer Facilitator, all of whom will be youth who reflect the audiences engaged at their events.","180 800 $, échelonnés sur 36 mois, pour offrir des activités mensuelles et hebdomadaires, ainsi que pour aménager et maintenir un espace social et spirituel en ligne pour les jeunes LGBTTQ de la région du grand Toronto. Les fonds serviront à payer les coûts des programmes et des activités de sensibilisation, ainsi qu’à embaucher un programmeur d’arts spirituels multidisciplinaire, un coordonnateur et un animateur pour les jeunes, toutes ces personnes étant des jeunes auxquels pourront s’identifier les participants aux activités qu’ils organiseront. ",Grassroots Innovation,,85912 8332 RR0001,Toronto,M6J 2W5,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth with all the experiences",15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Toronto,No,2Y15160010564,Trust 15 c/o YMCA of Greater Toronto,9/23/2015,3/24/2016,300000,300000,36,"$300,000 over 36 months to provide leadership and mentorship opportunities for racialized and newcomer youth in the Toronto neighbourhood of Rexdale by offering workshops for their Men of Distinction and Ladies on the Rise programs. Funds will be used for staff salaries, workshops and educational excursions.","300 000 $, échelonnés sur 36 mois, pour offrir des possibilités de leadership et de mentorat aux jeunes racialisés et nouveaux arrivants du quartier Rexdale à Toronto en organisant des ateliers pour les programmes Men of Distinction et Ladies on the Rise. Les fonds serviront à payer le salaire des employés, ainsi que le coût des ateliers et d’excursions éducatives.",Grassroots Innovation,,11930 7080 RR0001,Toronto,M4S 2C6,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29,12 to 14 years;15 to 19 years;20 to 25 years,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Halton Peel,No,2Y15160010800,"Dixie Bloor Neighbourhood Drop-In Centre 
",9/23/2015,3/24/2016,823003,785400,60,"$785,400 over 60 months will be used by the Healthy City Stewardship Centre collaborative to make it easier for youth from marginalized backgrounds including racialized, newcomer, LGBTTQ, youth with disabilities or special needs to navigate and access employment resources in Peel. Funds will be used to hire a Youth Coordinator to oversee the project, develop and implement a strategy and deliver communications materials.","785 400 $, échelonnés sur 60 mois, seront utilisés par le partenariat du Healthy City Stewardship Centre pour aider les jeunes marginalisés, dont ceux qui sont racialisés, nouveaux arrivants, LGBTTQ, handicapés et ceux qui ont des besoins particuliers, à accéder aux ressources pour l’emploi dans la région de Peel. Les fonds serviront à embaucher un coordonnateur des services pour les jeunes chargé de superviser le projet, d’élaborer et de mettre en œuvre une stratégie et de préparer du matériel de communication.",Strategic Collaboration,850068,136845245RR0001,Mississauga,L4Y 3V9,No,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth know about and easily navigate resources and opportunities in their communities;Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Toronto,No,2Y15160010464,Peacebuilders International,9/23/2015,3/24/2016,526811,507300,36,"$507,300 over 36 months to build a pre-charge diversion process to serve Toronto area youth. The collaborative will do this work with support from partners in policing services and school boards. Funds will be used for staffing, strategy design, community engagement and coordination of the initiative.","507 300 $, échelonnés sur 36 mois, pour établir un processus de déjudiciarisation préinculpation pour les jeunes de la région de Toronto. Le partenariat pourra compter sur le soutien des services policiers et des conseils scolaires. Les fonds serviront à la dotation en personnel, à la conception d’une stratégie, à l’engagement communautaire et à la coordination de l’initiative.",Strategic Collaboration,,838776524RR0001,Toronto,M5A 2B7,No,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years,Youth are enaged in their community ,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,"Algoma, Cochrane, Manitoulin, Sudbury",No,2Y15160010651,Atikameksheng Organics c/o Atikameksheng Anishinawbek,9/23/2015,3/24/2016,210000,210000,36,"$210,000 over 36 months to engage young people to design and maintain a greenhouse in Atikameksheng Anishinabek community. Funds will be used for garden supplies, youth engagement, and staffing.","210 000 $, échelonnés sur 36 mois, pour faire participer les jeunes à la conception et à l’entretien d’une serre dans la communauté d’Atikameksheng Anishinabek. Les fonds serviront à payer l’outillage de jardin, la mobilisation des jeunes et la dotation en personnel.",Grassroots Innovation,,,Naughton,P0M 2M0,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth living in rural or remote communities;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth know about and easily navigate resources and opportunities in their communities;Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,"Algoma, Cochrane, Manitoulin, Sudbury",No,2Y15160010835,Fort Albany First Nation Youth Council c/o Fort Albany First Nation,9/23/2015,3/24/2016,206400,210000,36,"$210,000 over 36 months to provide empowerment workshops, life skills training, camp retreats, and overall support for youth in Fort Albany First Nation. This initiative aims to increase the self-esteem and confidence of young people in the community. Funds will be used for staffing, training, and workshops.","210 000 $, échelonnés sur 36 mois, pour offrir des ateliers sur la responsabilisation, de la formation sur les aptitudes à la vie quotidienne, des retraites dans des camps et un soutien global aux jeunes de la Première Nation de Fort Albany. Cette initiative vise à accroître l’estime de soi et la confiance en soi des jeunes de la communauté. Les fonds serviront à la dotation en personnel, à la formation et à la tenue des ateliers.",Grassroots Innovation,,,Fort Albany,,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth living in rural or remote communities;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Champlain,No,2Y15160010011,Iakwa’shatste Youth Fitness c/o The Aboriginal Sport and Wellness Council of Ontario,9/23/2015,3/24/2016,70000,70000,12,"$70,000 over 12 months to provide access to professional sports and fitness training to athletically inclined youth in remote and underserved First Nations community in Akwesasne. Traditional healers and teachers will train youth to fight depression and anxiety by traditional means, with a focus on the mind, body and spirit. Funds will be used for staff and program delivery. ","70 000 $, échelonnés sur 12 mois, pour permettre à des jeunes s’intéressant à l’activité physique de la communauté des Premières Nations éloignée et insuffisamment desservie d’Akwesasne de recevoir un entraînement pour des sports professionnels et pour une bonne forme physique. Des guérisseurs et des enseignants traditionnels entraîneront les jeunes à lutter contre la dépression et l’anxiété en ayant recours à des moyens traditionnels, en mettant l’accent sur l’esprit et le corps. Les fonds serviront pour les employés et la prestation des programmes",Grassroots Innovation,1845674,,Mississauga,L4W 5K4,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;Parents or gaurdians of young people,Youth know about and easily navigate resources and opportunities in their communities;Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,"Algoma, Cochrane, Manitoulin, Sudbury",No,2Y15160010551,MoCreebec Eeyoud Youth Council c/o MoCreebec Eeyoud,9/23/2015,3/24/2016,159000,140000,12,"$140,000 over 24 months to formally implement a youth council in the community of MoCreebec First Nation and create opportunities for youth to be engaged in meaningful ways.  Funds will be used to support the engagement of youth, elders and community leaders. ","140 000 $, échelonnés sur 24 mois, pour mettre sur pied officiellement un conseil des jeunes dans la communauté de la Première Nation MoCreebec et pour offrir des possibilités aux jeunes de jouer un rôle actif. Les fonds serviront à appuyer la mobilisation des jeunes, des aînés et des leaders de la communauté. ",Grassroots Innovation,309624-6,,Moose Factory,P0L 1W0,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth know about and easily navigate resources and opportunities in their communities;Youth are enaged in their community;Youth have families and caregivers to help them thirve,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Northwestern,No,2Y15160010355,Regaining Cultural Identity c/o Sachigo Lake First Nation,9/23/2015,3/24/2016,210000,210000,36,"$210,000 over 36 months to engage youth in Sachigo Lake First Nation through social supports and mentorship. Funds will be used for staffing, equipment and supplies.","210 000 $, échelonnés sur 36 mois, pour mobiliser les jeunes de la Première Nation de Sachigo Lake grâce à du soutien social et du mentorat. Les fonds serviront à la dotation en personnel, et pour les coûts de l’équipement et des fournitures.",Grassroots Innovation,,,Sachigo Lake,P0V 2P0,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth living with disabilities or special needs between the ages of 12 to 29;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,"Durham, Haliburton, Kawartha, Pine Ridge",No,2Y15160010506,"Sacred Water Circle c/o Green Communities Canada 
",9/23/2015,3/24/2016,70000,70000,12,"$70,000 over 12 months to support local water experts and Indigenous elders and youth, to deepen their understanding of traditional knowledge and current, local and national issues related to water in Haliburton, Kawartha, Pine Ridge and Peterborough. Funds will be used for staff and youth salaries, space rental, training programs, and community gatherings.  ","70 000 $, échelonnés sur 12 mois, pour aider des spécialistes locaux de l’eau ainsi que des aînés et des jeunes autochtones à approfondir leur compréhension des connaissances traditionnelles et des enjeux courants, locaux et nationaux liés à l’eau à Haliburton, Kawartha, Pine Ridge et Peterborough. Les fonds serviront à payer le salaire des employés et des jeunes, la location de locaux, les programmes de formation et les réunions communautaires.  ",Grassroots Innovation,328258-9,,Peterborough,K9H 3V1,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living in rural or remote communities;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Hamilton,No,2Y15160010487,NGen c/o Boys and Girls Club of Hamilton,9/23/2015,3/24/2016,400000,400000,48,"$400,000 over 48 months to provide mentorship opportunities for youth in Hamilton and ensure they have access to safe spaces, can connect with other youth, and become active members in their communities. Funds will be used for youth salaries, program delivery and outreach.","400 000 $, échelonnés sur 48 mois, pour offrir des possibilités de mentorat aux jeunes de Hamilton et s’assurer qu’ils ont accès à des endroits sécuritaires, peuvent établir des liens avec d’autres jeunes et devenir des membres actifs de leur communauté. Les fonds serviront à payer le salaire des jeunes, la prestation des programmes et les activités de sensibilisation.",Grassroots Innovation,118844,,Hamilton,L8H 4L8,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Champlain,No,2Y15160010782,"Ohero:kon ""Under the Husk"" c/o Onake Corporation",9/23/2015,3/24/2016,400000,400000,48,"$400,000 over 48 months to expand its rites of passage initiative for Haudenosaunee youth facing barriers in order to provide more year-round support, skill-building, and community connecting in Akwesasne, and will share the initiative with other Haudenosaunee communities across Ontario. Funds will be used for project staffing, mentoring, travel and meeting costs, and project supplies including a shared garden.","400 000 $, échelonnés sur 48 mois, pour élargir la portée de l’initiative liée aux rites de passage à l’intention des jeunes Haudenosaunee faisant face à des obstacles afin de leur offrir plus de soutien à longueur d’année, des possibilités d’acquérir des aptitudes et d’établir des liens dans la communauté d’Akwesasne, et pour partager cette initiative avec d’autres communautés Haudenosaunee de l’Ontario. Les fonds serviront à la dotation en personnel pour le projet, ainsi qu’aux coûts du mentorat, des déplacements et des réunions, et des fournitures pour le projet, dont un jardin à partager. ",Grassroots Innovation,,119067148RR0001,Akwesasne,K6H 5R7,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth living in rural or remote communities;Youth with all the experiences",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities;Parents or gaurdians of young people,"Youth form and maintain healthy, close relationships;Youth are enaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2015-2016,Youth Opportunities Fund ,Grand River,Yes,2Y15160010494,"Six Nation Polytechnic 
",9/23/2015,3/24/2016,1852800,900000,48,"$900,000 over 48 months to systematize opportunities for Indigenous education and learning for First Nations youth by launching youth ambassador models for First Nations youth aged 13 to 24 to foster cultural resilience, cultural identity, and self-confidence. Funds will be used for staffing, curriculum development and delivery as well as ambassadors training and mobilization.","900 000 $, échelonnés sur 48 mois, pour systématiser les possibilités d’éducation et de formation autochtones des jeunes des Premières Nations en établissant des modèles de jeunes ambassadeurs pour les jeunes des Premières Nations de 13 à 24 ans en vue de favoriser la résilience et l’identité culturelles, ainsi que la confiance en soi. Les fonds serviront à la dotation en personnel, à l’élaboration et à la prestation des curriculums, ainsi qu’à la formation et la mobilisation des ambassadeurs.",Strategic Collaboration,,866114317RR0001,Ohsweken,N0A 1M0,No,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living in rural or remote communities;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities;Parents or gaurdians of young people,"Youth form and maintain healthy, close relationships;Youth are enaged in their community; Youth know about and easily navigate resources and opportunities in their communities",3/5/2020 0:00
