ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group
759,Male,Hispanic,66,Over 60,82273,693,222200,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
760,Male,Black,49,25-60,134267,532,50542,Part-time,Graduate,Citizen,Fluent,Yes,No,Working Class Urban
761,Male,White,26,25-60,133954,513,269072,Self-employed,Some College,Citizen,Fluent,No,No,Rural
762,Male,Native American,78,Over 60,141129,585,205444,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
763,Male,White,57,25-60,121695,757,436750,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
764,Male,Asian,24,Under 25,86323,596,374443,Full-time,Graduate,Citizen,Fluent,No,No,Rural
765,Male,White,21,Under 25,118156,696,148974,Full-time,Bachelor's,Citizen,Limited,No,No,Urban Professional
766,Male,White,75,Over 60,169304,618,78665,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
767,Female,Native American,35,25-60,95863,805,447323,Self-employed,Some College,Citizen,Fluent,Yes,No,Urban Professional
768,Male,Hispanic,74,Over 60,43980,811,292896,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban
769,Female,Hispanic,53,25-60,79924,630,160120,Part-time,Some College,Permanent Resident,Fluent,No,No,Urban Professional
770,Male,White,40,25-60,78894,845,305292,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
771,Male,White,35,25-60,148825,837,382275,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
772,Non-binary,Hispanic,44,25-60,92975,592,96364,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
773,Male,Hispanic,82,Over 60,43164,799,69772,Unemployed,High School,Citizen,Fluent,No,No,High-income Suburban
774,Male,White,81,Over 60,143530,742,394472,Gig,High School,Citizen,Limited,Yes,No,Historically Redlined
775,Female,White,24,Under 25,25902,619,247688,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
776,Female,White,53,25-60,31617,532,78851,Part-time,Some College,Permanent Resident,Fluent,Yes,Yes,High-income Suburban
777,Female,Hispanic,18,Under 25,94464,667,204312,Part-time,Graduate,Citizen,Limited,Yes,No,Rural
778,Male,White,48,25-60,54187,703,279475,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined
779,Male,White,64,Over 60,70163,784,131725,Full-time,High School,Citizen,Limited,No,No,Rural
780,Male,Hispanic,62,Over 60,142352,675,338968,Part-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
781,Male,White,44,25-60,132018,715,104723,Gig,Graduate,Citizen,Fluent,Yes,No,Rural
782,Male,White,21,Under 25,87010,815,414933,Part-time,High School,Citizen,Fluent,No,No,Historically Redlined
783,Female,White,39,25-60,70042,641,138053,Full-time,High School,Citizen,Limited,Yes,No,Working Class Urban
784,Male,White,76,Over 60,143386,638,334374,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
785,Female,White,58,25-60,136399,743,445408,Self-employed,Some College,Citizen,Fluent,No,No,Working Class Urban
786,Female,White,39,25-60,164719,819,389028,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
787,Female,Black,64,Over 60,42141,722,227012,Self-employed,High School,Citizen,Limited,No,No,High-income Suburban
788,Female,Asian,71,Over 60,115986,835,228127,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban
789,Male,White,34,25-60,99384,826,139720,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
790,Female,White,33,25-60,54187,518,139894,Full-time,High School,Citizen,Limited,No,No,Working Class Urban
791,Male,White,25,25-60,167387,715,444488,Full-time,High School,Citizen,Fluent,No,Yes,Working Class Urban
792,Male,White,70,Over 60,45076,587,382880,Gig,High School,Citizen,Fluent,No,No,Working Class Urban
793,Female,Asian,75,Over 60,135967,810,360563,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
794,Female,Asian,77,Over 60,84468,727,338417,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
795,Female,White,72,Over 60,133295,796,73528,Self-employed,Some College,Citizen,Fluent,Yes,No,High-income Suburban
796,Female,White,54,25-60,45295,637,387681,Full-time,High School,Citizen,Fluent,No,No,Rural
797,Female,White,39,25-60,57643,576,394985,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
798,Female,White,28,25-60,27857,566,344768,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
799,Male,Black,29,25-60,174692,828,317506,Self-employed,Bachelor's,Citizen,Limited,No,No,Urban Professional
800,Female,White,58,25-60,132521,818,344114,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined
801,Non-binary,Black,33,25-60,117097,759,271152,Part-time,Some College,Citizen,Fluent,No,No,Rural
802,Male,White,22,Under 25,131250,666,414179,Part-time,Graduate,Citizen,Fluent,No,No,Rural
803,Male,Hispanic,67,Over 60,91799,776,128678,Part-time,Bachelor's,Visa Holder,Fluent,No,No,High-income Suburban
804,Male,Hispanic,71,Over 60,172126,523,202804,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
805,Male,White,70,Over 60,121986,500,115747,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
806,Non-binary,Black,37,25-60,61585,634,380968,Part-time,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban
807,Male,White,51,25-60,155690,718,191462,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional
808,Female,Black,55,25-60,94825,607,199519,Self-employed,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
809,Female,Hispanic,28,25-60,104663,827,251813,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
810,Female,Hispanic,47,25-60,53328,545,398455,Full-time,Graduate,Citizen,Fluent,Yes,No,Rural
811,Male,Hispanic,40,25-60,141086,750,405028,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
812,Female,White,61,Over 60,41373,673,365956,Full-time,Some College,Citizen,Fluent,No,No,Rural
813,Female,White,57,25-60,146684,669,324483,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
814,Female,White,78,Over 60,152042,695,333292,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Working Class Urban
815,Male,White,59,25-60,121747,571,375669,Self-employed,Bachelor's,Citizen,Limited,No,No,Urban Professional
816,Female,White,53,25-60,124772,619,101000,Part-time,High School,Visa Holder,Fluent,No,No,High-income Suburban
817,Male,Hispanic,79,Over 60,50889,655,390932,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
818,Female,White,44,25-60,31141,575,247534,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
819,Male,Native American,48,25-60,78473,669,330967,Gig,Graduate,Citizen,Fluent,No,No,High-income Suburban
820,Female,White,41,25-60,96049,557,287247,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
821,Male,White,40,25-60,44936,802,351169,Full-time,High School,Citizen,Limited,Yes,No,Working Class Urban
822,Female,White,26,25-60,109116,553,405612,Gig,High School,Citizen,Fluent,No,No,High-income Suburban
823,Female,White,65,Over 60,125728,559,315295,Self-employed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
824,Male,White,37,25-60,26618,702,96891,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined
825,Male,Black,74,Over 60,55447,827,262245,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
826,Male,White,52,25-60,127118,506,116002,Full-time,Some College,Citizen,Limited,No,No,Urban Professional
827,Male,Asian,42,25-60,74805,848,310966,Full-time,High School,Citizen,Limited,No,No,Urban Professional
828,Female,Asian,81,Over 60,91617,658,149556,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
829,Female,White,52,25-60,57473,516,204910,Full-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban
830,Female,White,32,25-60,121751,605,100112,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
831,Female,White,28,25-60,152378,603,393185,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
832,Female,White,22,Under 25,35752,815,408341,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
833,Female,Asian,34,25-60,36933,770,75873,Gig,Graduate,Citizen,Fluent,No,No,Historically Redlined
834,Female,White,82,Over 60,156110,737,401931,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
835,Female,White,43,25-60,157577,652,333015,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
836,Male,White,54,25-60,36400,709,59306,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Historically Redlined
837,Female,Hispanic,77,Over 60,91348,830,111602,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban
838,Male,White,58,25-60,168158,575,434723,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
839,Male,White,33,25-60,92425,602,325371,Self-employed,High School,Citizen,Limited,Yes,No,Historically Redlined
840,Female,White,62,Over 60,110949,544,186714,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
841,Female,White,60,25-60,165701,713,349357,Self-employed,Some College,Citizen,Fluent,Yes,No,Urban Professional
842,Female,White,45,25-60,72575,631,58049,Full-time,High School,Citizen,Fluent,No,No,Rural
843,Female,White,26,25-60,120733,693,246210,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban
844,Female,White,53,25-60,37154,642,175076,Self-employed,High School,Citizen,Fluent,No,No,High-income Suburban
845,Male,Asian,23,Under 25,34565,786,256878,Part-time,Some College,Citizen,Fluent,No,No,High-income Suburban
846,Male,White,48,25-60,26881,621,243020,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
847,Female,White,25,25-60,174516,783,361939,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
848,Female,White,20,Under 25,80694,582,439086,Gig,High School,Citizen,Limited,No,No,Urban Professional
849,Female,White,58,25-60,77226,743,330207,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
850,Male,White,51,25-60,80885,740,215127,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional
851,Male,Hispanic,38,25-60,127339,533,321954,Part-time,Bachelor's,Visa Holder,Limited,No,No,Urban Professional
852,Male,White,50,25-60,41926,769,415326,Self-employed,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
853,Female,White,64,Over 60,73917,660,374403,Part-time,High School,Citizen,Fluent,No,Yes,Rural
854,Male,White,71,Over 60,156436,680,67242,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Urban Professional
855,Male,White,40,25-60,50941,549,231961,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
856,Female,Hispanic,73,Over 60,148898,707,193772,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional
857,Female,White,57,25-60,162161,741,369868,Self-employed,Graduate,Citizen,Fluent,No,No,Working Class Urban
858,Female,Asian,30,25-60,87028,544,194926,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
859,Female,Hispanic,55,25-60,122875,822,52871,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
860,Male,White,39,25-60,49111,805,276768,Gig,High School,Citizen,Fluent,No,No,High-income Suburban
861,Male,White,45,25-60,117655,585,375824,Full-time,High School,Permanent Resident,Limited,No,No,High-income Suburban
862,Male,Hispanic,55,25-60,163574,591,161422,Full-time,Some College,Visa Holder,Limited,No,No,High-income Suburban
863,Male,Hispanic,60,25-60,44093,563,423612,Unemployed,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
864,Male,White,30,25-60,123988,509,389363,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban
865,Male,White,22,Under 25,75706,598,223659,Full-time,High School,Citizen,Limited,No,No,High-income Suburban
866,Female,Hispanic,47,25-60,159265,547,246793,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
867,Female,White,66,Over 60,46832,736,306811,Full-time,Graduate,Permanent Resident,Limited,No,No,High-income Suburban
868,Male,White,75,Over 60,90448,812,426607,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban
869,Male,Black,45,25-60,174405,636,177820,Full-time,Some College,Visa Holder,Fluent,No,No,Historically Redlined
870,Female,Multiracial,58,25-60,123539,701,449218,Full-time,High School,Citizen,Fluent,No,No,Rural
871,Male,White,64,Over 60,166191,777,121935,Gig,Some College,Citizen,Fluent,No,No,Urban Professional
872,Male,White,23,Under 25,54816,551,347963,Full-time,Bachelor's,Permanent Resident,Limited,No,No,High-income Suburban
873,Male,Hispanic,23,Under 25,92393,550,297148,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
874,Female,White,67,Over 60,58513,752,218989,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban
875,Female,Black,80,Over 60,161854,738,203428,Self-employed,Bachelor's,Visa Holder,Fluent,No,No,Working Class Urban
876,Male,Hispanic,80,Over 60,145969,771,114737,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Rural
877,Female,Black,65,Over 60,113306,642,331025,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
878,Male,Hispanic,75,Over 60,121271,737,295364,Gig,High School,Citizen,Fluent,No,No,High-income Suburban
879,Male,Black,76,Over 60,84233,505,137359,Full-time,High School,Visa Holder,Fluent,No,No,Urban Professional
880,Male,Black,76,Over 60,109411,565,423291,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
881,Male,Black,50,25-60,88588,680,361057,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
882,Female,White,42,25-60,145648,732,155270,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
883,Male,Native American,47,25-60,129107,630,444850,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban
884,Male,White,31,25-60,31986,542,425783,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
885,Female,White,55,25-60,164811,759,226752,Full-time,High School,Visa Holder,Fluent,No,No,Rural
886,Male,Hispanic,55,25-60,102761,830,287186,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
887,Male,Hispanic,74,Over 60,44395,511,401380,Part-time,High School,Permanent Resident,Fluent,No,Yes,Historically Redlined
888,Male,White,23,Under 25,84581,807,77603,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban
889,Female,White,74,Over 60,60889,541,131922,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
890,Male,White,74,Over 60,25824,555,244237,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural
891,Male,Black,21,Under 25,81680,692,390189,Full-time,Bachelor's,Citizen,Limited,No,No,Urban Professional
892,Female,Asian,31,25-60,59402,653,180223,Full-time,Some College,Permanent Resident,Fluent,No,No,Urban Professional
893,Female,White,38,25-60,55248,836,210888,Gig,Some College,Permanent Resident,Fluent,No,No,Historically Redlined
894,Female,White,31,25-60,93383,669,91639,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined
895,Female,White,25,25-60,51431,545,145620,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
896,Female,White,44,25-60,148434,660,305495,Full-time,Some College,Citizen,Limited,No,No,High-income Suburban
897,Female,White,36,25-60,36238,528,255361,Gig,Some College,Citizen,Fluent,No,No,High-income Suburban
898,Female,Black,54,25-60,87888,740,150497,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
899,Female,Hispanic,29,25-60,89420,678,190962,Self-employed,High School,Citizen,Fluent,No,No,Historically Redlined
900,Male,Hispanic,32,25-60,164801,659,344262,Part-time,High School,Citizen,Fluent,No,Yes,Urban Professional
901,Male,Hispanic,43,25-60,33470,638,394077,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
902,Male,Asian,48,25-60,119533,775,312588,Part-time,High School,Citizen,Fluent,No,No,Rural
903,Female,White,51,25-60,105737,630,272308,Full-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined
904,Male,White,79,Over 60,120215,566,422795,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban
905,Male,Hispanic,33,25-60,26500,796,218843,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
906,Male,Black,49,25-60,41983,782,121124,Full-time,Some College,Permanent Resident,Fluent,Yes,No,Working Class Urban
907,Male,Multiracial,55,25-60,127791,571,254956,Gig,High School,Citizen,Fluent,No,No,Historically Redlined
908,Male,Black,39,25-60,102529,628,243314,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
909,Male,White,40,25-60,146889,576,226920,Self-employed,High School,Citizen,Limited,Yes,No,High-income Suburban
910,Female,White,64,Over 60,25291,563,325520,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
911,Female,Hispanic,72,Over 60,60264,567,339261,Part-time,High School,Visa Holder,Fluent,No,No,High-income Suburban
912,Male,White,54,25-60,46698,568,376082,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
913,Male,White,73,Over 60,31175,592,295848,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
914,Female,White,56,25-60,80620,629,114933,Full-time,High School,Citizen,Limited,No,No,Historically Redlined
915,Female,White,21,Under 25,111932,580,91377,Gig,High School,Citizen,Fluent,No,Yes,High-income Suburban
916,Female,White,44,25-60,50848,754,114879,Full-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban
917,Male,Black,21,Under 25,27082,799,356333,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
918,Male,Asian,53,25-60,36180,732,133976,Full-time,High School,Citizen,Fluent,No,No,Rural
919,Male,White,55,25-60,121588,791,190616,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Working Class Urban
920,Female,Black,79,Over 60,105393,611,448306,Self-employed,High School,Citizen,Fluent,No,No,Working Class Urban
921,Female,White,41,25-60,165847,744,111720,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,Rural
922,Male,Black,77,Over 60,60507,840,109025,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban
923,Male,White,60,25-60,173751,597,60007,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
924,Male,White,56,25-60,134055,699,254434,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
925,Male,Black,58,25-60,38929,719,300117,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
926,Female,White,69,Over 60,165662,583,327418,Full-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban
927,Non-binary,Asian,22,Under 25,164333,567,358778,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
928,Female,White,22,Under 25,65432,688,193675,Part-time,Graduate,Citizen,Fluent,No,No,Rural
929,Female,White,58,25-60,49095,838,86579,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban
930,Male,White,51,25-60,158346,519,173056,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,Working Class Urban
931,Male,White,67,Over 60,159464,706,398509,Full-time,High School,Citizen,Fluent,Yes,No,Urban Professional
932,Male,White,72,Over 60,36816,725,56549,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,Urban Professional
933,Male,Asian,64,Over 60,110514,547,83967,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
934,Female,White,44,25-60,125485,724,446715,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
935,Male,White,54,25-60,143327,755,281515,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban
936,Female,White,42,25-60,92184,502,160531,Part-time,High School,Citizen,Fluent,No,No,Rural
937,Female,Black,30,25-60,57661,695,375119,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional
938,Male,White,54,25-60,26371,535,127044,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
939,Female,Hispanic,41,25-60,59921,816,75496,Gig,High School,Citizen,Fluent,No,No,Working Class Urban
940,Female,White,62,Over 60,85319,544,330792,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Rural
941,Female,White,59,25-60,61455,609,125243,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
942,Male,White,32,25-60,62479,773,76833,Full-time,High School,Citizen,Fluent,Yes,No,High-income Suburban
943,Female,Hispanic,50,25-60,136997,554,188707,Self-employed,Graduate,Citizen,Limited,No,Yes,Historically Redlined
944,Male,White,26,25-60,174631,721,200592,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
945,Male,White,76,Over 60,113317,806,356040,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
946,Female,Hispanic,62,Over 60,141695,718,294429,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban
947,Female,White,45,25-60,104377,557,109657,Full-time,High School,Citizen,Fluent,Yes,Yes,Historically Redlined
948,Female,White,71,Over 60,115299,553,332623,Self-employed,High School,Citizen,Fluent,Yes,No,Working Class Urban
949,Male,White,54,25-60,150668,601,139224,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined
950,Female,White,62,Over 60,173910,643,398202,Full-time,Some College,Citizen,Fluent,No,Yes,Historically Redlined
951,Female,White,22,Under 25,143740,551,319556,Full-time,Some College,Citizen,Fluent,No,Yes,Historically Redlined
952,Male,White,60,25-60,112272,822,191114,Part-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
953,Male,White,76,Over 60,58860,700,87588,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
954,Non-binary,White,20,Under 25,46282,637,215350,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
955,Male,Asian,65,Over 60,34884,823,88725,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural
956,Male,White,81,Over 60,28872,788,200839,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
957,Male,White,51,25-60,72055,770,243369,Gig,Some College,Citizen,Fluent,No,No,Working Class Urban
958,Female,White,35,25-60,160135,593,133675,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban
959,Male,White,75,Over 60,108327,737,403892,Gig,Bachelor's,Citizen,Fluent,No,No,Urban Professional
960,Male,Native American,77,Over 60,115228,832,229375,Full-time,Bachelor's,Citizen,Limited,No,No,Urban Professional
961,Male,White,59,25-60,94835,525,206531,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
962,Female,Hispanic,82,Over 60,103125,513,255944,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban
963,Male,Black,62,Over 60,73871,564,230879,Full-time,High School,Permanent Resident,Fluent,Yes,No,Working Class Urban
964,Male,Hispanic,28,25-60,25952,762,431654,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
965,Male,White,62,Over 60,31564,713,127538,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
966,Female,White,49,25-60,26764,828,182522,Gig,High School,Citizen,Fluent,No,No,Urban Professional
967,Male,White,71,Over 60,67375,582,407507,Full-time,Some College,Citizen,Limited,Yes,Yes,Urban Professional
968,Female,White,39,25-60,57593,605,114197,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban
969,Female,White,47,25-60,126186,511,423703,Self-employed,Some College,Citizen,Limited,No,No,High-income Suburban
970,Female,White,30,25-60,40800,673,88190,Full-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban
971,Female,Black,72,Over 60,89545,638,389502,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
972,Male,Hispanic,25,25-60,119048,701,216420,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural
973,Male,White,42,25-60,164157,616,369716,Part-time,Bachelor's,Citizen,Limited,No,No,Historically Redlined
974,Male,White,47,25-60,148363,515,60533,Full-time,High School,Permanent Resident,Fluent,Yes,No,Urban Professional
975,Female,White,72,Over 60,114042,814,237803,Unemployed,High School,Citizen,Fluent,No,Yes,High-income Suburban
976,Female,White,27,25-60,84908,769,283468,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
977,Female,Multiracial,38,25-60,144391,616,99168,Self-employed,Some College,Citizen,Fluent,No,No,Rural
978,Female,Asian,19,Under 25,114196,678,392533,Part-time,Bachelor's,Visa Holder,Fluent,No,No,Rural
979,Female,Hispanic,24,Under 25,145613,538,146089,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Rural
980,Male,White,55,25-60,37476,605,393694,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
981,Male,White,47,25-60,97692,587,394937,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
982,Female,White,50,25-60,151388,800,338133,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Urban Professional
983,Male,Hispanic,79,Over 60,78780,625,340433,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
984,Female,White,18,Under 25,39831,602,330259,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban
985,Female,Hispanic,48,25-60,98304,541,258670,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
986,Female,White,66,Over 60,134919,793,261053,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural
987,Female,White,24,Under 25,99508,809,65890,Gig,Bachelor's,Citizen,Limited,No,No,Urban Professional
988,Male,White,42,25-60,63640,602,371215,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Rural
989,Male,Black,71,Over 60,146041,512,216872,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
990,Female,White,35,25-60,153304,707,256405,Part-time,Some College,Citizen,Fluent,No,No,High-income Suburban
991,Male,Hispanic,49,25-60,170619,655,146362,Full-time,Bachelor's,Permanent Resident,Limited,No,No,High-income Suburban
992,Female,Hispanic,37,25-60,174605,806,97703,Gig,Some College,Citizen,Fluent,No,No,High-income Suburban
993,Female,Hispanic,46,25-60,81981,633,439036,Gig,High School,Citizen,Fluent,No,No,Working Class Urban
994,Female,White,26,25-60,170808,749,113942,Full-time,Bachelor's,Citizen,Limited,Yes,No,Rural
995,Male,White,80,Over 60,56167,686,424329,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban
996,Female,Hispanic,31,25-60,149476,534,336861,Self-employed,Bachelor's,Citizen,Fluent,No,No,Rural
997,Male,White,62,Over 60,33349,848,342927,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
998,Male,Black,30,25-60,87947,643,218428,Full-time,Bachelor's,Citizen,Fluent,Yes,Yes,Urban Professional
999,Male,Hispanic,73,Over 60,119368,524,250439,Full-time,High School,Citizen,Fluent,Yes,No,Urban Professional
1000,Male,Black,57,25-60,161002,817,105532,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
1001,Female,White,40,25-60,35486,583,164268,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
1002,Female,Hispanic,80,Over 60,71404,602,431887,Full-time,Some College,Citizen,Fluent,No,No,Rural
1003,Female,Black,79,Over 60,106208,663,80835,Full-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban
1004,Female,Hispanic,71,Over 60,46866,515,303855,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
1005,Female,White,57,25-60,90516,840,381982,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
1006,Female,Black,46,25-60,114919,626,87216,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined
1007,Male,White,60,25-60,145444,774,426931,Self-employed,High School,Citizen,Fluent,Yes,No,Working Class Urban
1008,Male,White,50,25-60,106884,522,160445,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
1009,Male,Hispanic,82,Over 60,123250,847,376713,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban
1010,Non-binary,White,19,Under 25,160200,602,401827,Self-employed,High School,Citizen,Fluent,No,No,Urban Professional
1011,Female,White,63,Over 60,49709,502,423312,Full-time,Some College,Citizen,Fluent,No,Yes,Rural
1012,Female,Hispanic,70,Over 60,127984,543,285506,Full-time,Graduate,Citizen,Limited,No,No,High-income Suburban
1013,Male,Black,37,25-60,110259,673,324094,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional
1014,Female,White,40,25-60,60132,656,429536,Unemployed,Some College,Citizen,Fluent,No,No,Working Class Urban
